Weather_Condition,Road_Type,Road_Condition,Speed_Limit,Time_of_Day,Vehicle_Type,Driver_Age,State,City,Accident_Severity
Snow,Rural Road,Potholes,45,Morning,Truck,38.0,Uttar Pradesh,Jaunpur,Moderate
Rain,Highway,Normal,200,Afternoon,Bus,30.0,Tamil Nadu,Chennai,Fatal
Rain,Rural Road,Hill Area,120,Night,Bus,26.0,Haryana,Fatehabad,Fatal
Clear,City Street,Wet,30,Afternoon,Bus,42.0,Delhi,South East Delhi,Minor
Fog,Highway,Hill Area,220,Evening,Bus,,Tamil Nadu,Salem,Fatal
Rain,Rural Road,Hill Area,55,Night,Motorcycle,46.0,Haryana,Sonipat,Fatal
Rain,City Street,Hill Area,35,Morning,Motorcycle,24.0,Haryana,Jind,Fatal
Clear,Highway,Wet,80,Afternoon,Bus,31.0,Uttar Pradesh,Budaun,Severe
Fog,City Street,Potholes,45,Night,Bus,38.0,Delhi,North Delhi,Severe
Clear,Rural Road,Hill Area,70,Night,Car,46.0,Maharashtra,Nagpur,Fatal
Rain,City Street,Wet,45,Evening,Bus,29.0,Karnataka,Bengaluru,Severe
Fog,Rural Road,Wet,70,Night,Truck,32.0,Tamil Nadu,Chennai,Fatal
Clear,Rural Road,Hill Area,55,Afternoon,Bus,21.0,Haryana,Bhiwani,Moderate
Snow,Highway,Hill Area,150,Evening,Motorcycle,20.0,Karnataka,Mangaluru,Fatal
Clear,City Street,Normal,25,Morning,Motorcycle,44.0,Haryana,Sonipat,Moderate
Clear,Highway,Wet,200,Morning,Truck,51.0,Haryana,Fatehabad,Fatal
Rain,City Street,Potholes,30,Evening,Truck,34.0,Tamil Nadu,Chennai,Severe
Clear,Rural Road,Normal,35,Evening,Bus,47.0,Karnataka,Mysuru,Minor
Clear,Rural Road,Potholes,120,Morning,Car,39.0,Maharashtra,Nashik,Severe
Clear,Rural Road,Potholes,70,Morning,Bus,27.0,Karnataka,Bengaluru,Severe
Fog,Rural Road,Wet,120,Night,Truck,39.0,Uttar Pradesh,Shahjahanpur,Fatal
Fog,City Street,Hill Area,35,Evening,Motorcycle,53.0,Haryana,Charkhi Dadri,Fatal
Rain,City Street,Hill Area,30,Evening,Car,34.0,Karnataka,Mangaluru,Severe
Rain,City Street,Potholes,60,Evening,Motorcycle,53.0,Tamil Nadu,Madurai,Severe
Rain,Highway,Wet,200,Night,Bus,16.0,Tamil Nadu,Coimbatore,Fatal
Fog,Highway,Normal,100,Evening,Truck,44.0,Karnataka,Mysuru,Severe
Fog,Rural Road,Potholes,55,Night,Motorcycle,36.0,Maharashtra,Nashik,Fatal
Snow,Highway,Normal,70,Afternoon,Motorcycle,31.0,Delhi,South East Delhi,Fatal
Rain,Rural Road,Hill Area,55,Evening,Motorcycle,36.0,Delhi,North Delhi,Fatal
Snow,Highway,Potholes,55,Morning,Truck,16.0,Maharashtra,Mumbai,Fatal
Rain,Rural Road,Hill Area,70,Morning,Car,32.0,Tamil Nadu,Madurai,Severe
Fog,City Street,Wet,25,Morning,Motorcycle,39.0,Karnataka,Bengaluru,Fatal
Fog,Highway,Normal,65,Afternoon,Truck,52.0,Tamil Nadu,Madurai,Severe
Clear,Rural Road,Hill Area,55,Afternoon,Bus,28.0,Karnataka,Hubli,Moderate
Snow,Rural Road,Normal,55,Morning,Truck,25.0,Uttar Pradesh,Fatehpur,Minor
Rain,Highway,Wet,200,Morning,Truck,28.0,Delhi,Shahdara,Fatal
Snow,Highway,Wet,65,Evening,Motorcycle,45.0,Uttar Pradesh,Muzaffarnagar,Fatal
Snow,Rural Road,Wet,120,Night,Car,38.0,Tamil Nadu,Coimbatore,Fatal
Snow,Highway,Normal,200,Morning,Truck,28.0,Maharashtra,Nagpur,Fatal
Fog,Rural Road,Potholes,70,Night,Motorcycle,41.0,Tamil Nadu,Salem,Fatal
Clear,City Street,Potholes,80,Evening,Car,36.0,Delhi,North Delhi,Moderate
Snow,Rural Road,Normal,55,Afternoon,Bus,46.0,Tamil Nadu,Salem,Minor
Fog,Rural Road,Hill Area,55,Morning,Bus,,Maharashtra,Nashik,Severe
Clear,Highway,Potholes,220,Night,Bus,31.0,Maharashtra,Nashik,Fatal
Fog,Highway,Potholes,220,Evening,Motorcycle,30.0,Delhi,Shahdara,Fatal
Fog,City Street,Normal,80,Afternoon,Motorcycle,17.0,Tamil Nadu,Salem,Fatal
Clear,Highway,Potholes,65,Afternoon,Motorcycle,38.0,Karnataka,Hubli,Fatal
Rain,Rural Road,Wet,35,Evening,Car,38.0,Tamil Nadu,Salem,Minor
Clear,City Street,Normal,60,Afternoon,Bus,35.0,Uttar Pradesh,Hathras,Minor
Fog,City Street,Hill Area,45,Afternoon,Bus,32.0,Tamil Nadu,Coimbatore,Severe
Rain,Highway,Potholes,55,Night,Motorcycle,18.0,Tamil Nadu,Madurai,Fatal
Snow,Rural Road,Hill Area,55,Afternoon,Bus,29.0,Tamil Nadu,Salem,Severe
Fog,City Street,Potholes,30,Afternoon,Truck,30.0,Tamil Nadu,Salem,Moderate
Clear,City Street,Hill Area,45,Night,Bus,25.0,Uttar Pradesh,Budaun,Severe
Rain,Rural Road,Potholes,70,Morning,Bus,33.0,Delhi,South East Delhi,Moderate
Rain,City Street,Wet,60,Morning,Bus,39.0,Maharashtra,Nagpur,Moderate
Clear,City Street,Hill Area,60,Evening,Bus,57.0,Tamil Nadu,Chennai,Severe
Rain,Rural Road,Potholes,120,Afternoon,Car,37.0,Karnataka,Bengaluru,Fatal
Fog,Highway,Potholes,100,Morning,Car,38.0,Maharashtra,Mumbai,Fatal
Snow,City Street,Wet,30,Afternoon,Bus,34.0,Tamil Nadu,Coimbatore,Moderate
Clear,Rural Road,Hill Area,45,Afternoon,Bus,16.0,Tamil Nadu,Coimbatore,Severe
Snow,City Street,Potholes,25,Morning,Bus,34.0,Maharashtra,Pune,Severe
Snow,Rural Road,Potholes,45,Night,Motorcycle,,Karnataka,Mangaluru,Fatal
Fog,Highway,Wet,100,Night,Motorcycle,64.0,Tamil Nadu,Madurai,Fatal
Fog,City Street,Normal,60,Morning,Bus,32.0,Maharashtra,Pune,Moderate
Rain,Rural Road,Wet,120,Evening,Truck,38.0,Uttar Pradesh,Balrampur,Severe
Snow,City Street,Normal,35,Evening,Truck,34.0,Delhi,North East Delhi,Moderate
Rain,Highway,Wet,200,Evening,Motorcycle,20.0,Haryana,Jind,Fatal
Snow,Highway,Hill Area,150,Morning,Truck,48.0,Haryana,Yamunanagar,Fatal
Clear,City Street,Normal,80,Evening,Car,44.0,Karnataka,Mangaluru,Moderate
Fog,Rural Road,Potholes,90,Morning,Truck,44.0,Karnataka,Bengaluru,Fatal
Rain,Rural Road,Normal,35,Night,Motorcycle,24.0,Uttar Pradesh,Mainpuri,Severe
Clear,Highway,Potholes,220,Night,Car,51.0,Delhi,North Delhi,Fatal
Fog,City Street,Potholes,45,Night,Truck,18.0,Karnataka,Bengaluru,Fatal
Snow,Highway,Potholes,120,Afternoon,Bus,42.0,Karnataka,Mysuru,Fatal
Snow,Rural Road,Potholes,35,Morning,Bus,61.0,Maharashtra,Pune,Severe
Clear,Rural Road,Wet,45,Morning,Car,23.0,Maharashtra,Pune,Minor
Clear,Rural Road,Wet,90,Afternoon,Truck,28.0,Maharashtra,Pune,Moderate
Snow,Highway,Wet,55,Evening,Truck,36.0,Delhi,West Delhi,Severe
Clear,City Street,Wet,25,Evening,Car,28.0,Haryana,Jind,Minor
Fog,Rural Road,Normal,90,Morning,Bus,16.0,Karnataka,Mangaluru,Severe
Fog,Rural Road,Wet,35,Morning,Motorcycle,35.0,Karnataka,Bengaluru,Fatal
Fog,City Street,Normal,35,Night,Bus,22.0,Delhi,East Delhi,Moderate
Clear,Highway,Potholes,200,Evening,Bus,40.0,Tamil Nadu,Madurai,Fatal
Clear,Rural Road,Normal,70,Afternoon,Bus,23.0,Karnataka,Mysuru,Minor
Fog,City Street,Hill Area,80,Morning,Motorcycle,53.0,Karnataka,Mangaluru,Fatal
Snow,Highway,Hill Area,150,Morning,Car,25.0,Delhi,East Delhi,Fatal
Snow,Highway,Normal,150,Evening,Car,31.0,Karnataka,Mangaluru,Fatal
Snow,Rural Road,Potholes,45,Evening,Car,44.0,Tamil Nadu,Coimbatore,Moderate
Rain,Highway,Potholes,150,Evening,Car,20.0,Maharashtra,Pune,Fatal
Snow,Highway,Wet,55,Evening,Motorcycle,37.0,Maharashtra,Nagpur,Fatal
Rain,Rural Road,Hill Area,35,Morning,Truck,50.0,Uttar Pradesh,Ambedkar Nagar,Moderate
Fog,City Street,Hill Area,80,Evening,Truck,16.0,Maharashtra,Nagpur,Fatal
Clear,Highway,Wet,100,Afternoon,Car,37.0,Uttar Pradesh,Bahraich,Severe
Fog,City Street,Hill Area,25,Night,Motorcycle,38.0,Haryana,Panipat,Fatal
Fog,Highway,Potholes,150,Night,Motorcycle,44.0,Delhi,North Delhi,Fatal
Clear,Highway,Potholes,120,Afternoon,Truck,20.0,Maharashtra,Nagpur,Fatal
,City Street,Hill Area,60,Afternoon,Truck,19.0,Karnataka,Mysuru,Moderate
Clear,City Street,Normal,35,Night,Car,41.0,Karnataka,Bengaluru,Severe
Fog,Rural Road,Hill Area,55,Evening,Car,38.0,Karnataka,Bengaluru,Fatal
Fog,Rural Road,Potholes,70,Morning,Bus,38.0,Delhi,North Delhi,Severe
Clear,City Street,Potholes,25,Evening,Truck,39.0,Maharashtra,Pune,Minor
Rain,City Street,Potholes,35,Afternoon,Truck,26.0,Delhi,New Delhi,Moderate
Rain,Rural Road,Wet,70,Morning,Truck,37.0,Uttar Pradesh,Saharanpur,Moderate
Snow,Rural Road,Potholes,70,Afternoon,Bus,38.0,Delhi,South Delhi,Severe
Snow,Rural Road,Normal,70,Evening,Car,26.0,Maharashtra,Nashik,Moderate
Clear,City Street,Potholes,45,Morning,Car,57.0,Tamil Nadu,Salem,Minor
Fog,Rural Road,Wet,35,Evening,Bus,40.0,Tamil Nadu,Coimbatore,Moderate
Clear,City Street,Normal,45,Afternoon,Car,20.0,Haryana,Palwal,Minor
Snow,City Street,Potholes,80,Night,Bus,42.0,Maharashtra,Mumbai,Fatal
Clear,City Street,Normal,35,Night,Motorcycle,23.0,Maharashtra,Pune,Severe
Rain,City Street,Potholes,35,Night,Truck,44.0,Tamil Nadu,Chennai,Fatal
Snow,Highway,Normal,100,Night,Motorcycle,48.0,Delhi,North West Delhi,Fatal
Rain,City Street,Hill Area,25,Afternoon,Truck,25.0,Haryana,Fatehabad,Severe
Clear,Rural Road,Normal,45,Evening,Truck,46.0,Tamil Nadu,Salem,Minor
Rain,Rural Road,Wet,120,Night,Car,39.0,Karnataka,Mangaluru,Fatal
Fog,Rural Road,Potholes,55,Night,Truck,44.0,Tamil Nadu,Coimbatore,Severe
,City Street,Hill Area,30,Night,Motorcycle,57.0,Karnataka,Hubli,Fatal
Rain,City Street,Normal,80,Night,Motorcycle,32.0,Tamil Nadu,Chennai,Fatal
Snow,Highway,Wet,150,Evening,Bus,25.0,Tamil Nadu,Coimbatore,Fatal
Rain,City Street,Potholes,60,Morning,Bus,24.0,Delhi,Shahdara,Moderate
Rain,City Street,Normal,25,Evening,Truck,25.0,Delhi,North West Delhi,Minor
Rain,Highway,Normal,200,Evening,Bus,34.0,Uttar Pradesh,Bhadohi,Fatal
Clear,Highway,Normal,220,Evening,Truck,39.0,Haryana,Rewari,Fatal
Clear,City Street,Wet,45,Evening,Car,38.0,Delhi,North Delhi,Minor
Clear,Highway,Hill Area,100,Morning,Truck,44.0,Uttar Pradesh,Bijnor,Fatal
Clear,Rural Road,Potholes,120,Afternoon,Bus,35.0,Haryana,Yamunanagar,Severe
Snow,Highway,Normal,150,Night,Bus,52.0,Delhi,West Delhi,Fatal
Snow,Rural Road,Normal,120,Evening,Car,31.0,Maharashtra,Pune,Fatal
Snow,Highway,Normal,200,Evening,Motorcycle,67.0,Uttar Pradesh,Chitrakoot,Fatal
Rain,Highway,Normal,55,Night,Car,42.0,Maharashtra,Pune,Severe
Clear,City Street,Potholes,80,Night,Bus,24.0,Maharashtra,Mumbai,Fatal
Snow,City Street,Normal,45,Evening,Motorcycle,22.0,Delhi,North West Delhi,Severe
Fog,City Street,Potholes,35,Afternoon,Bus,40.0,Uttar Pradesh,Saharanpur,Moderate
Clear,Rural Road,Hill Area,90,Morning,Bus,32.0,Tamil Nadu,Coimbatore,Severe
Snow,Highway,Normal,150,Evening,Motorcycle,,Maharashtra,Nashik,Fatal
Fog,City Street,Hill Area,35,Morning,Motorcycle,40.0,Tamil Nadu,Salem,Fatal
Clear,Rural Road,Hill Area,90,Evening,Truck,34.0,Delhi,New Delhi,Fatal
Clear,Highway,Normal,55,Afternoon,Motorcycle,24.0,Maharashtra,Nashik,Severe
Fog,City Street,Potholes,60,Night,Car,16.0,Tamil Nadu,Coimbatore,Fatal
Fog,City Street,Potholes,45,Afternoon,Car,29.0,Delhi,New Delhi,Severe
Clear,City Street,Potholes,80,Night,Truck,45.0,Tamil Nadu,Madurai,Severe
Rain,Highway,Wet,65,Morning,Bus,37.0,Haryana,Palwal,Severe
Snow,Rural Road,Normal,45,Evening,Motorcycle,20.0,Haryana,Sonipat,Fatal
Rain,Highway,Wet,120,Afternoon,Truck,37.0,Karnataka,Bengaluru,Fatal
Fog,Rural Road,Wet,120,Morning,Car,39.0,Maharashtra,Nashik,Fatal
Fog,City Street,Normal,45,Afternoon,Motorcycle,24.0,Uttar Pradesh,Baghpat,Severe
,Highway,Wet,65,Afternoon,Bus,36.0,Tamil Nadu,Chennai,Fatal
Snow,Highway,Wet,65,Evening,Truck,35.0,Maharashtra,Nagpur,Fatal
Rain,Rural Road,Potholes,90,Afternoon,Motorcycle,21.0,Tamil Nadu,Chennai,Fatal
Rain,Highway,Potholes,100,Morning,Car,39.0,Delhi,Central Delhi,Severe
Fog,Rural Road,Normal,70,Night,Motorcycle,41.0,Uttar Pradesh,Jalaun,Fatal
Fog,City Street,Hill Area,45,Morning,Car,47.0,Haryana,Palwal,Severe
Fog,Highway,Potholes,120,Afternoon,Motorcycle,47.0,Uttar Pradesh,Jhansi,Fatal
Rain,City Street,Normal,35,Evening,Truck,18.0,Karnataka,Bengaluru,Severe
Rain,Highway,Normal,80,Morning,Motorcycle,23.0,Karnataka,Hubli,Fatal
Snow,Rural Road,Potholes,70,Afternoon,Truck,41.0,Karnataka,Hubli,Severe
Fog,Highway,Normal,120,Night,Bus,41.0,Haryana,Hisar,Fatal
Clear,City Street,Hill Area,25,Night,Motorcycle,41.0,Tamil Nadu,Chennai,Fatal
Rain,City Street,Potholes,25,Night,Motorcycle,81.0,Delhi,Shahdara,Fatal
Snow,Rural Road,Potholes,90,Morning,Bus,41.0,Tamil Nadu,Salem,Severe
Clear,Highway,Normal,70,Night,Motorcycle,48.0,Maharashtra,Nagpur,Fatal
Fog,Rural Road,Normal,70,Morning,Car,46.0,Haryana,Karnal,Moderate
Rain,Rural Road,Wet,90,Evening,Motorcycle,42.0,Haryana,Mahendragarh,Fatal
Snow,Rural Road,Hill Area,55,Evening,Bus,31.0,Delhi,North West Delhi,Severe
Fog,Rural Road,Potholes,120,Morning,Bus,44.0,Maharashtra,Pune,Fatal
Fog,Highway,Hill Area,65,Afternoon,Truck,25.0,Delhi,South West Delhi,Fatal
,City Street,Potholes,45,Night,Truck,32.0,Karnataka,Mysuru,Moderate
Clear,Rural Road,Wet,90,Afternoon,Motorcycle,29.0,Uttar Pradesh,Raebareli,Fatal
Snow,Highway,Hill Area,200,Evening,Motorcycle,35.0,Uttar Pradesh,Gorakhpur,Fatal
Rain,City Street,Potholes,80,Afternoon,Motorcycle,62.0,Maharashtra,Pune,Fatal
Snow,City Street,Potholes,80,Evening,Motorcycle,16.0,Delhi,South West Delhi,Fatal
Fog,City Street,Wet,35,Evening,Car,43.0,Maharashtra,Mumbai,Severe
Snow,Rural Road,Hill Area,90,Afternoon,Truck,16.0,Tamil Nadu,Madurai,Fatal
Rain,Highway,Wet,80,Afternoon,Car,29.0,Uttar Pradesh,Shamli,Severe
Clear,Highway,Hill Area,70,Evening,Bus,48.0,Delhi,West Delhi,Severe
Rain,City Street,Hill Area,35,Night,Truck,35.0,Maharashtra,Nagpur,Severe
Clear,Rural Road,Wet,35,Morning,Truck,22.0,Karnataka,Mysuru,Minor
Fog,Highway,Potholes,120,Morning,Car,26.0,Maharashtra,Mumbai,Fatal
Fog,Rural Road,Hill Area,35,Afternoon,Bus,43.0,Maharashtra,Pune,Fatal
Rain,Rural Road,Hill Area,55,Evening,Truck,,Delhi,North West Delhi,Moderate
Rain,Rural Road,Hill Area,120,Night,Motorcycle,37.0,Delhi,Shahdara,Fatal
Rain,Highway,Hill Area,150,Evening,Truck,35.0,Delhi,North East Delhi,Fatal
Fog,City Street,Potholes,80,Evening,Car,27.0,Maharashtra,Nagpur,Severe
Clear,Rural Road,Normal,120,Night,Motorcycle,60.0,Haryana,Mahendragarh,Fatal
,Rural Road,Potholes,70,Evening,Truck,42.0,Haryana,Fatehabad,Minor
Fog,Rural Road,Potholes,45,Night,Bus,16.0,Tamil Nadu,Coimbatore,Severe
Fog,Rural Road,Potholes,90,Morning,Car,37.0,Delhi,South East Delhi,Severe
Rain,Highway,Potholes,200,Night,Car,27.0,Uttar Pradesh,Farrukhabad,Fatal
Fog,Highway,Hill Area,220,Afternoon,Bus,45.0,Karnataka,Bengaluru,Fatal
Snow,Rural Road,Normal,90,Night,Motorcycle,25.0,Delhi,North Delhi,Fatal
Clear,City Street,Potholes,25,Morning,Car,33.0,Delhi,South Delhi,Minor
Fog,Highway,Wet,150,Night,Motorcycle,41.0,Karnataka,Hubli,Fatal
Clear,Rural Road,Wet,70,Evening,Car,45.0,Haryana,Rewari,Minor
Rain,Highway,Normal,150,Evening,Bus,20.0,Uttar Pradesh,Siddharthnagar,Fatal
Rain,Highway,Hill Area,65,Evening,Truck,30.0,Maharashtra,Pune,Fatal
Fog,Rural Road,Normal,90,Afternoon,Truck,29.0,Delhi,East Delhi,Moderate
Fog,Rural Road,Normal,45,Afternoon,Car,27.0,Karnataka,Hubli,Minor
Clear,Highway,Potholes,80,Afternoon,Motorcycle,56.0,Tamil Nadu,Madurai,Fatal
Rain,Rural Road,Wet,90,Night,Motorcycle,39.0,Maharashtra,Mumbai,Fatal
Fog,Rural Road,Hill Area,90,Morning,Motorcycle,19.0,Uttar Pradesh,Lalitpur,Fatal
Fog,City Street,Wet,45,Evening,Bus,46.0,Haryana,Rewari,Moderate
Rain,City Street,Wet,45,Night,Car,60.0,Tamil Nadu,Salem,Moderate
Fog,Highway,Potholes,200,Afternoon,Motorcycle,47.0,Uttar Pradesh,Bahraich,Fatal
Clear,Rural Road,Wet,35,Morning,Motorcycle,16.0,Karnataka,Bengaluru,Fatal
Rain,City Street,Wet,30,Evening,Motorcycle,29.0,Delhi,North Delhi,Severe
Fog,Highway,Wet,100,Night,Truck,50.0,Tamil Nadu,Madurai,Fatal
Fog,Rural Road,Potholes,70,Evening,Motorcycle,26.0,Maharashtra,Nashik,Fatal
Fog,City Street,Wet,60,Evening,Motorcycle,40.0,Karnataka,Bengaluru,Fatal
Rain,Highway,Potholes,120,Night,Motorcycle,44.0,Haryana,Hisar,Fatal
Fog,Rural Road,Wet,120,Night,Motorcycle,23.0,Maharashtra,Nashik,Fatal
Fog,Highway,Potholes,200,Afternoon,Truck,34.0,Uttar Pradesh,Siddharthnagar,Fatal
Clear,Rural Road,Normal,45,Morning,Car,16.0,Delhi,Shahdara,Minor
Clear,Rural Road,Wet,55,Morning,Truck,22.0,Tamil Nadu,Salem,Minor
Fog,Rural Road,Hill Area,35,Morning,Car,31.0,Tamil Nadu,Salem,Moderate
Snow,Rural Road,Potholes,35,Morning,Bus,20.0,Haryana,Faridabad,Moderate
Rain,Highway,Potholes,120,Evening,Motorcycle,54.0,Karnataka,Bengaluru,Fatal
Fog,Rural Road,Wet,120,Afternoon,Motorcycle,17.0,Uttar Pradesh,Bahraich,Fatal
Clear,City Street,Hill Area,25,Night,Bus,29.0,Delhi,West Delhi,Severe
Clear,City Street,Hill Area,30,Evening,Car,36.0,Tamil Nadu,Chennai,Severe
Fog,City Street,Normal,30,Morning,Motorcycle,52.0,Tamil Nadu,Chennai,Fatal
Clear,Highway,Wet,80,Night,Car,17.0,Maharashtra,Pune,Fatal
Snow,City Street,Wet,45,Morning,Motorcycle,48.0,Delhi,East Delhi,Severe
Clear,City Street,Hill Area,45,Evening,Car,35.0,Uttar Pradesh,Hamirpur,Moderate
Rain,City Street,Hill Area,80,Night,Truck,23.0,Uttar Pradesh,Varanasi,Fatal
Clear,Rural Road,Potholes,45,Afternoon,Car,40.0,Delhi,North East Delhi,Minor
Rain,Rural Road,Hill Area,35,Evening,Motorcycle,37.0,Delhi,East Delhi,Fatal
Fog,City Street,Potholes,45,Morning,Truck,27.0,Delhi,New Delhi,Severe
Fog,Highway,Normal,120,Morning,Motorcycle,35.0,Tamil Nadu,Chennai,Fatal
Clear,City Street,Hill Area,30,Night,Car,30.0,Uttar Pradesh,Sonbhadra,Severe
Fog,Highway,Wet,70,Evening,Motorcycle,36.0,Maharashtra,Nashik,Fatal
Rain,City Street,Potholes,35,Night,Motorcycle,42.0,Karnataka,Bengaluru,Fatal
Rain,Rural Road,Hill Area,55,Afternoon,Bus,54.0,Delhi,New Delhi,Severe
Fog,City Street,Hill Area,80,Evening,Bus,20.0,Maharashtra,Nashik,Fatal
Snow,City Street,Wet,35,Night,Motorcycle,60.0,Haryana,Mahendragarh,Fatal
Fog,Rural Road,Wet,55,Evening,Bus,16.0,Maharashtra,Nashik,Moderate
Rain,Rural Road,Wet,70,Morning,Bus,33.0,Uttar Pradesh,Farrukhabad,Moderate
Clear,City Street,Hill Area,80,Afternoon,Motorcycle,42.0,Haryana,Jind,Fatal
Fog,City Street,Normal,60,Night,Bus,38.0,Tamil Nadu,Salem,Moderate
Clear,City Street,Normal,30,Morning,Truck,27.0,Uttar Pradesh,Kaushambi,Minor
Fog,City Street,Hill Area,30,Morning,Car,32.0,Delhi,North East Delhi,Severe
Fog,City Street,Hill Area,45,Night,Truck,29.0,Maharashtra,Mumbai,Fatal
Snow,City Street,Normal,35,Morning,Truck,27.0,Maharashtra,Nagpur,Moderate
Rain,Rural Road,Hill Area,120,Evening,Bus,45.0,Delhi,South Delhi,Fatal
Snow,Highway,Potholes,65,Morning,Car,39.0,Delhi,North West Delhi,Severe
Rain,Rural Road,Wet,70,Afternoon,Motorcycle,26.0,Tamil Nadu,Salem,Severe
Fog,Rural Road,Wet,120,Afternoon,Bus,45.0,Karnataka,Bengaluru,Fatal
Fog,Rural Road,Hill Area,45,Night,Car,38.0,Uttar Pradesh,Fatehpur,Fatal
Clear,Rural Road,Normal,70,Afternoon,Motorcycle,44.0,Maharashtra,Pune,Severe
Snow,Rural Road,Hill Area,90,Evening,Bus,42.0,Tamil Nadu,Salem,Severe
Snow,City Street,Hill Area,80,Afternoon,Motorcycle,25.0,Tamil Nadu,Chennai,Fatal
Snow,Highway,Wet,70,Evening,Car,28.0,Haryana,Kurukshetra,Fatal
